 title="zbzh"
 variables ="r","z","T(K)"
* zone t= "chamber",i= 25 , j= 49 , f= point
 25  49 
    0.0269    0.1025   2468.01
    0.0276    0.1025   2468.92
    0.0286    0.1025   2470.15
    0.0299    0.1025   2471.74
    0.0000    0.1042   2452.36
    0.0007    0.1042   2452.36
    0.0020    0.1042   2452.41
    0.0033    0.1042   2452.51
    0.0047    0.1042   2452.66
    0.0060    0.1042   2452.87
    0.0073    0.1042   2453.13
    0.0086    0.1042   2453.42
    0.0097    0.1042   2453.75
    0.0109    0.1042   2454.12
    0.0121    0.1042   2454.54
    0.0133    0.1042   2455.01
    0.0144    0.1042   2455.54
    0.0158    0.1042   2456.26
    0.0175    0.1042   2457.23
    0.0192    0.1042   2458.36
    0.0208    0.1042   2459.67
    0.0225    0.1042   2461.17
    0.0242    0.1042   2462.88
    0.0254    0.1042   2464.29
    0.0261    0.1042   2465.22
    0.0269    0.1042   2466.18
    0.0276    0.1042   2467.20
    0.0286    0.1042   2468.59
    0.0299    0.1042   2470.42
    0.0000    0.1058   2449.95
    0.0007    0.1058   2449.95
    0.0020    0.1058   2450.00
    0.0033    0.1058   2450.10
    0.0047    0.1058   2450.24
    0.0060    0.1058   2450.44
    0.0073    0.1058   2450.68
    0.0086    0.1058   2450.97
    0.0097    0.1058   2451.28
    0.0109    0.1058   2451.63
    0.0121    0.1058   2452.03
    0.0133    0.1058   2452.49
    0.0144    0.1058   2453.00
    0.0158    0.1058   2453.70
    0.0175    0.1058   2454.66
    0.0192    0.1058   2455.77
    0.0208    0.1058   2457.08
    0.0225    0.1058   2458.60
    0.0242    0.1058   2460.39
    0.0254    0.1058   2461.91
    0.0261    0.1058   2462.93
    0.0269    0.1058   2464.00
    0.0276    0.1058   2465.15
    0.0286    0.1058   2466.76
    0.0299    0.1058   2468.91
    0.0000    0.1075   2447.40
    0.0007    0.1075   2447.40
    0.0020    0.1075   2447.44
    0.0033    0.1075   2447.53
    0.0047    0.1075   2447.67
    0.0060    0.1075   2447.85
    0.0073    0.1075   2448.08
    0.0086    0.1075   2448.34
    0.0097    0.1075   2448.63
    0.0109    0.1075   2448.96
    0.0121    0.1075   2449.34
    0.0133    0.1075   2449.77
    0.0144    0.1075   2450.25
    0.0158    0.1075   2450.91
    0.0175    0.1075   2451.82
    0.0192    0.1075   2452.89
    0.0208    0.1075   2454.15
    0.0225    0.1075   2455.65
    0.0242    0.1075   2457.46
    0.0254    0.1075   2459.06
    0.0261    0.1075   2460.14
    0.0269    0.1075   2461.33
    0.0276    0.1075   2462.64
    0.0286    0.1075   2464.52
    0.0299    0.1075   2467.16
    0.0000    0.1092   2444.70
    0.0007    0.1092   2444.70
    0.0020    0.1092   2444.74
    0.0033    0.1092   2444.82
    0.0047    0.1092   2444.95
    0.0060    0.1092   2445.12
    0.0073    0.1092   2445.32
